Bullied_in_school,Bullied_outside_school,Cyber_bullied,Custom_Age,Sex,Physically_attacked,Physical_fighting,Felt_lonely,Close_friends,Miss_school_no_permission,Other_students_kind_and_helpful,Parents_understand_problems,Most_of_the_time_or_always_felt_lonely,Missed_classes_or_school_without_permission,Were_underweight,Were_overweight,Were_obese
No,No,No,16 years old,Male,0 times,2 or 3 times,Sometimes,2,0 days,Most of the time,Most of the time,No,No,No,No,No
Yes,Yes,Yes,16 years old,Female,0 times,1 time,Most of the time,2,0 days,Sometimes,Sometimes,Yes,No,No,No,No
No,No,No,16 years old,Male,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No,No,Yes,Yes
No,Yes,No,17 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Rarely,Most of the time,No,No,No,No,No
No,No,Yes,16 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Sometimes,No,No,No,No,No
No,No,No,17 years old,Female,1 time,0 times,Sometimes,3 or more,0 days,Most of the time,Rarely,No,No,No,Yes,No
Yes,Yes,Yes,16 years old,Female,0 times,0 times,Sometimes,0,0 days,Most of the time,Most of the time,No,No,No,No,No
No,No,Yes,16 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
Yes,Yes,Yes,16 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Always,Always,No,No,No,Yes,Yes
No,No,No,16 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Sometimes,Sometimes,Yes,No,No,Yes,No
No,No,Yes,16 years old,Male,0 times,2 or 3 times,Rarely,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
Yes,Yes,Yes,16 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Most of the time,Sometimes,Yes,No,No,No,No
No,No,No,16 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
No,No,No,16 years old,Female,0 times,0 times,Most of the time,2,0 days,Always,Rarely,Yes,No,No,No,No
No,No,No,16 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Always,Most of the time,No,No,No,No,No
No,No,No,16 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
No,Yes,No,16 years old,Male,0 times,1 time,Sometimes,1,0 days,Most of the time,Most of the time,No,No,No,No,No
No,No,No,16 years old,Male,0 times,1 time,Sometimes,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
No,No,No,16 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Most of the time,No,No,No,No,No
No,No,No,16 years old,Male,0 times,0 times,Rarely,2,0 days,Sometimes,Sometimes,No,No,No,No,No
No,No,No,13 years old,Female,0 times,0 times,Rarely,0,0 days,Rarely,Most of the time,No,No,No,No,No
No,Yes,No,13 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Rarely,Sometimes,No,No,No,No,No
No,No,No,13 years old,Male,0 times,0 times,Never,3 or more,0 days,Never,Rarely,No,No,No,No,No
No,No,No,13 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No,No,No,No
No,No,No,13 years old,Female,1 time,0 times,Never,3 or more,0 days,Always,Never,No,No,No,No,No
No,No,No,13 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Sometimes,No,No,No,Yes,No
No,No,No,14 years old,Male,0 times,2 or 3 times,Never,3 or more,0 days,Most of the time,Never,No,No,No,No,No
No,No,No,14 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No,No,No,No
No,No,No,13 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Most of the time,No,No,No,No,No
No,No,No,13 years old,Male,0 times,2 or 3 times,Never,3 or more,0 days,Sometimes,Most of the time,No,No,No,No,No
No,No,No,14 years old,Male,0 times,0 times,Never,3 or more,0 days,Sometimes,Most of the time,No,No,No,No,No
No,Yes,Yes,14 years old,Female,2 or 3 times,0 times,Always,3 or more,0 days,Rarely,Never,Yes,No,No,No,No
No,No,No,13 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No,No,No,No
Yes,Yes,Yes,13 years old,Female,0 times,0 times,Always,3 or more,0 days,Rarely,Rarely,Yes,No,No,No,No
No,Yes,No,13 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Sometimes,Sometimes,Yes,No,No,No,No
No,No,No,13 years old,Female,0 times,0 times,Never,3 or more,1 or 2 days,Rarely,Rarely,No,Yes,No,No,No
No,No,No,14 years old,Female,1 time,0 times,Rarely,3 or more,0 days,Sometimes,Sometimes,No,No,No,No,No
No,No,No,12 years old,Male,0 times,0 times,Sometimes,2,0 days,Sometimes,Most of the time,No,No,No,Yes,Yes
Yes,No,No,13 years old,Female,0 times,0 times,Never,3 or more,0 days,Never,Most of the time,No,No,No,No,No
Yes,Yes,No,13 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Always,Sometimes,No,No,No,No,No
No,No,No,13 years old,Female,0 times,0 times,Rarely,3 or more,1 or 2 days,Sometimes,Rarely,No,Yes,No,No,No
No,No,No,13 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No,No,Yes,No
No,Yes,No,14 years old,Female,0 times,0 times,Rarely,3 or more,1 or 2 days,Most of the time,Never,No,Yes,No,No,No
No,No,Yes,14 years old,Female,0 times,2 or 3 times,Sometimes,3 or more,3 to 5 days,Rarely,Most of the time,No,Yes,No,No,No
No,No,No,14 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Never,No,No,No,No,No
No,No,No,15 years old,Female,0 times,0 times,Never,3 or more,0 days,Rarely,Always,No,No,No,No,No
No,No,No,15 years old,Female,0 times,0 times,Never,3 or more,0 days,Rarely,Always,No,No,No,No,No
No,Yes,Yes,14 years old,Female,0 times,0 times,Most of the time,2,0 days,Rarely,Never,Yes,No,No,Yes,No
No,No,No,14 years old,Female,0 times,0 times,Never,3 or more,1 or 2 days,Sometimes,Most of the time,No,Yes,No,No,No
No,No,Yes,14 years old,Male,0 times,1 time,Never,3 or more,3 to 5 days,Most of the time,Sometimes,No,Yes,No,No,No
No,Yes,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Sometimes,No,No,No,No,No
No,No,Yes,14 years old,Male,0 times,1 time,Rarely,3 or more,0 days,Always,Most of the time,No,No,No,No,No
No,No,Yes,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Always,No,No,No,No,No
No,No,No,14 years old,Male,0 times,0 times,Never,3 or more,1 or 2 days,Most of the time,Always,No,Yes,No,No,No
No,No,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Never,No,No,Yes,No,No
Yes,Yes,Yes,14 years old,Female,0 times,0 times,Sometimes,3 or more,3 to 5 days,Sometimes,Sometimes,No,Yes,No,No,No
No,Yes,No,15 years old,Male,0 times,0 times,Rarely,3 or more,3 to 5 days,Rarely,Most of the time,No,Yes,No,No,No
Yes,No,No,15 years old,Female,0 times,0 times,Rarely,3 or more,6 to 9 days,Sometimes,Rarely,No,Yes,No,Yes,No
No,No,No,14 years old,Female,0 times,0 times,Always,3 or more,1 or 2 days,Always,Never,Yes,Yes,No,Yes,No
No,No,No,14 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No,No,No,No
Yes,Yes,No,15 years old,Male,2 or 3 times,1 time,Sometimes,3 or more,3 to 5 days,Sometimes,Always,No,Yes,No,No,No
No,No,No,14 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Rarely,Sometimes,No,No,No,Yes,Yes
Yes,No,Yes,14 years old,Female,0 times,0 times,Always,3 or more,1 or 2 days,Rarely,Never,Yes,Yes,No,No,No
Yes,No,No,14 years old,Male,4 or 5 times,4 or 5 times,Rarely,3 or more,3 to 5 days,Rarely,Sometimes,No,Yes,No,No,No
Yes,Yes,Yes,14 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Most of the time,Sometimes,Yes,No,No,No,No
Yes,No,Yes,14 years old,Male,0 times,1 time,Sometimes,3 or more,3 to 5 days,Sometimes,Sometimes,No,Yes,No,No,No
No,No,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,1 or 2 days,Sometimes,Most of the time,No,Yes,No,No,No
No,Yes,No,16 years old,Male,1 time,2 or 3 times,Never,3 or more,0 days,Always,Always,No,No,No,No,No
No,No,No,15 years old,Male,0 times,2 or 3 times,Never,1,0 days,Never,Sometimes,No,No,No,No,No
No,No,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Sometimes,No,No,No,No,No
No,No,No,15 years old,Male,0 times,4 or 5 times,Sometimes,3 or more,0 days,Rarely,Never,No,No,No,No,No
No,No,No,15 years old,Male,0 times,0 times,Never,3 or more,0 days,Most of the time,Rarely,No,No,No,No,No
Yes,Yes,No,15 years old,Female,0 times,1 time,Sometimes,3 or more,0 days,Sometimes,Never,No,No,No,Yes,No
No,No,No,17 years old,Female,0 times,0 times,Sometimes,1,0 days,Never,Never,No,No,No,No,No
No,No,No,15 years old,Female,0 times,0 times,Sometimes,3 or more,1 or 2 days,Sometimes,Sometimes,No,Yes,No,No,No
Yes,No,No,15 years old,Male,0 times,2 or 3 times,Most of the time,3 or more,3 to 5 days,Sometimes,Rarely,Yes,Yes,No,No,No
Yes,Yes,Yes,15 years old,Female,4 or 5 times,0 times,Always,0,3 to 5 days,Sometimes,Sometimes,Yes,Yes,No,No,No
No,Yes,Yes,16 years old,Female,2 or 3 times,1 time,Most of the time,2,1 or 2 days,Sometimes,Most of the time,Yes,Yes,No,No,No
No,No,Yes,15 years old,Female,0 times,1 time,Rarely,3 or more,3 to 5 days,Most of the time,Rarely,No,Yes,No,Yes,Yes
Yes,Yes,Yes,15 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Always,Always,No,No,No,No,No
No,No,No,16 years old,Female,0 times,0 times,Sometimes,3 or more,3 to 5 days,Most of the time,Sometimes,No,Yes,No,No,No
Yes,Yes,Yes,16 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Always,Always,No,No,No,No,No
No,No,Yes,17 years old,Female,0 times,0 times,Most of the time,2,1 or 2 days,Sometimes,Sometimes,Yes,Yes,No,No,No
Yes,Yes,No,17 years old,Male,1 time,1 time,Sometimes,3 or more,0 days,Rarely,Most of the time,No,No,No,No,No
No,No,Yes,16 years old,Female,0 times,0 times,Never,2,0 days,Most of the time,Always,No,No,No,No,No
No,Yes,No,16 years old,Female,1 time,1 time,Sometimes,0,0 days,Never,Never,No,No,No,Yes,No
No,No,No,16 years old,Female,0 times,0 times,Never,3 or more,0 days,Rarely,Always,No,No,No,No,No
No,No,Yes,16 years old,Male,0 times,1 time,Sometimes,3 or more,0 days,Most of the time,Rarely,No,No,No,No,No
No,No,No,16 years old,Female,0 times,0 times,Never,3 or more,3 to 5 days,Rarely,Always,No,Yes,No,No,No
Yes,Yes,Yes,16 years old,Female,0 times,0 times,Most of the time,2,0 days,Rarely,Sometimes,Yes,No,No,Yes,No
No,No,Yes,16 years old,Female,0 times,0 times,Never,3 or more,1 or 2 days,Most of the time,Rarely,No,Yes,No,No,No
No,No,No,16 years old,Female,0 times,0 times,Always,1,0 days,Most of the time,Sometimes,Yes,No,No,No,No
Yes,No,No,16 years old,Female,0 times,0 times,Sometimes,3 or more,3 to 5 days,Most of the time,Never,No,Yes,No,Yes,No
Yes,No,Yes,16 years old,Female,0 times,0 times,Always,1,0 days,Sometimes,Most of the time,Yes,No,No,No,No
Yes,Yes,Yes,16 years old,Male,0 times,0 times,Most of the time,3 or more,1 or 2 days,Sometimes,Never,Yes,Yes,No,No,No
No,No,No,16 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Rarely,Always,No,No,No,No,No
No,No,Yes,16 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Never,No,No,No,No,No
No,No,No,16 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Always,Always,No,No,No,No,No
No,No,No,16 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Rarely,Always,No,No,No,Yes,No
No,No,No,16 years old,Female,0 times,0 times,Rarely,3 or more,1 or 2 days,Most of the time,Most of the time,No,Yes,No,Yes,No
No,No,No,16 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Most of the time,No,No,No,No,No
No,No,No,16 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No,No,Yes,No
No,No,No,17 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Sometimes,Never,Yes,No,No,Yes,No
No,No,No,16 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Rarely,Sometimes,No,No,No,No,No
No,No,No,16 years old,Female,2 or 3 times,0 times,Most of the time,3 or more,0 days,Rarely,Rarely,Yes,No,No,No,No
No,No,Yes,16 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Always,No,No,No,No,No
No,No,No,16 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Rarely,Rarely,No,No,No,No,No
No,No,No,16 years old,Female,0 times,0 times,Rarely,2,1 or 2 days,Most of the time,Most of the time,No,Yes,No,Yes,No
Yes,Yes,Yes,16 years old,Male,0 times,0 times,Sometimes,3 or more,0 days,Sometimes,Never,No,No,No,No,No
No,No,No,17 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Always,Always,No,No,No,Yes,No
No,No,No,16 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Rarely,Most of the time,Yes,No,No,No,No
No,Yes,No,16 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
No,No,No,16 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Rarely,Most of the time,No,No,No,No,No
No,Yes,Yes,16 years old,Female,0 times,0 times,Sometimes,3 or more,1 or 2 days,Most of the time,Rarely,No,Yes,No,No,No
No,No,No,16 years old,Female,0 times,0 times,Sometimes,0,0 days,Sometimes,Sometimes,No,No,No,No,No
Yes,Yes,Yes,16 years old,Male,0 times,0 times,Rarely,1,0 days,Most of the time,Most of the time,No,No,No,Yes,No
Yes,No,No,16 years old,Female,0 times,0 times,Sometimes,2,0 days,Rarely,Sometimes,No,No,No,No,No
No,No,No,16 years old,Female,0 times,0 times,Sometimes,1,0 days,Most of the time,Sometimes,No,No,No,No,No
No,No,No,17 years old,Female,0 times,0 times,Sometimes,3 or more,1 or 2 days,Sometimes,Sometimes,No,Yes,No,Yes,No
No,No,No,16 years old,Male,0 times,0 times,Never,3 or more,1 or 2 days,Always,Rarely,No,Yes,No,No,No
No,No,No,16 years old,Male,0 times,4 or 5 times,Never,3 or more,10 or more days,Sometimes,Never,No,Yes,No,No,No
No,No,No,13 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
No,No,No,14 years old,Male,0 times,4 or 5 times,Never,3 or more,0 days,Always,Always,No,No,No,No,No
No,No,No,13 years old,Male,0 times,1 time,Never,3 or more,0 days,Sometimes,Most of the time,No,No,No,Yes,No
Yes,No,No,13 years old,Male,0 times,1 time,Rarely,3 or more,0 days,Rarely,Always,No,No,No,Yes,No
No,No,No,13 years old,Male,0 times,1 time,Rarely,0,0 days,Sometimes,Most of the time,No,No,No,Yes,Yes
No,No,No,13 years old,Male,1 time,0 times,Never,3 or more,0 days,Always,Always,No,No,No,No,No
No,No,No,13 years old,Male,0 times,0 times,Rarely,2,0 days,Never,Sometimes,No,No,No,Yes,No
Yes,No,No,13 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Always,Always,No,No,No,No,No
No,No,No,14 years old,Male,0 times,2 or 3 times,Rarely,3 or more,1 or 2 days,Never,Most of the time,No,Yes,No,Yes,No
No,No,No,13 years old,Male,0 times,4 or 5 times,Never,3 or more,0 days,Most of the time,Sometimes,No,No,No,No,No
Yes,Yes,No,13 years old,Male,0 times,2 or 3 times,Never,3 or more,0 days,Sometimes,Never,No,No,No,No,No
No,Yes,No,13 years old,Male,0 times,0 times,Never,1,0 days,Never,Most of the time,No,No,No,Yes,Yes
Yes,No,No,13 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Always,No,No,Yes,No,No
Yes,No,Yes,13 years old,Female,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Most of the time,No,No,No,No,No
Yes,No,No,13 years old,Male,0 times,0 times,Rarely,2,1 or 2 days,Most of the time,Always,No,Yes,No,No,No
No,No,No,13 years old,Male,0 times,0 times,Rarely,0,0 days,Always,Always,No,No,No,Yes,No
No,No,No,13 years old,Male,0 times,1 time,Rarely,3 or more,1 or 2 days,Sometimes,Never,No,Yes,No,Yes,Yes
No,No,No,13 years old,Male,0 times,1 time,Rarely,3 or more,0 days,Rarely,Never,No,No,No,No,No
Yes,No,Yes,13 years old,Male,0 times,1 time,Never,3 or more,0 days,Never,Never,No,No,No,No,No
No,No,No,13 years old,Male,0 times,0 times,Never,3 or more,0 days,Sometimes,Never,No,No,No,No,No
No,No,No,13 years old,Male,1 time,1 time,Rarely,3 or more,0 days,Most of the time,Never,No,No,No,No,No
No,No,No,13 years old,Male,0 times,0 times,Never,0,0 days,Rarely,Never,No,No,No,No,No
No,No,No,13 years old,Male,0 times,0 times,Never,3 or more,0 days,Sometimes,Rarely,No,No,No,Yes,Yes
Yes,No,Yes,14 years old,Female,1 time,1 time,Rarely,3 or more,1 or 2 days,Sometimes,Sometimes,No,Yes,No,Yes,Yes
No,No,No,13 years old,Male,0 times,1 time,Never,3 or more,0 days,Most of the time,Most of the time,No,No,No,No,No
No,No,No,15 years old,Male,0 times,0 times,Never,3 or more,1 or 2 days,Always,Always,No,Yes,No,No,No
No,No,No,14 years old,Male,0 times,4 or 5 times,Most of the time,3 or more,0 days,Sometimes,Rarely,Yes,No,No,No,No
No,Yes,No,14 years old,Male,0 times,1 time,Never,3 or more,0 days,Never,Always,No,No,No,No,No
Yes,No,Yes,14 years old,Male,0 times,0 times,Most of the time,0,0 days,Never,Rarely,Yes,No,No,No,No
No,No,No,14 years old,Male,1 time,2 or 3 times,Never,3 or more,0 days,Sometimes,Most of the time,No,No,No,Yes,No
No,No,No,14 years old,Male,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No,No,No,No
No,No,No,14 years old,Male,0 times,2 or 3 times,Never,3 or more,0 days,Sometimes,Sometimes,No,No,No,Yes,No
No,No,No,14 years old,Male,0 times,0 times,Never,3 or more,3 to 5 days,Never,Always,No,Yes,No,Yes,No
No,No,No,14 years old,Male,0 times,0 times,Rarely,2,1 or 2 days,Rarely,Most of the time,No,Yes,No,No,No
Yes,No,No,14 years old,Male,0 times,0 times,Never,2,0 days,Always,Rarely,No,No,No,No,No
No,No,No,14 years old,Female,0 times,1 time,Never,0,0 days,Sometimes,Sometimes,No,No,Yes,No,No
No,No,No,16 years old,Male,0 times,0 times,Sometimes,3 or more,0 days,Most of the time,Most of the time,No,No,No,Yes,Yes
Yes,Yes,No,14 years old,Male,0 times,0 times,Never,3 or more,0 days,Rarely,Most of the time,No,No,No,No,No
Yes,Yes,No,15 years old,Male,12 or more times,12 or more times,Rarely,3 or more,0 days,Sometimes,Sometimes,No,No,No,No,No
Yes,No,No,14 years old,Female,0 times,1 time,Most of the time,2,3 to 5 days,Sometimes,Never,Yes,Yes,No,No,No
No,No,No,15 years old,Male,0 times,0 times,Never,3 or more,0 days,Most of the time,Always,No,No,No,Yes,Yes
No,No,Yes,14 years old,Male,0 times,1 time,Rarely,3 or more,1 or 2 days,Most of the time,Rarely,No,Yes,No,No,No
No,No,No,16 years old,Female,0 times,0 times,Never,3 or more,1 or 2 days,Sometimes,Most of the time,No,Yes,No,No,No
No,No,No,14 years old,Male,0 times,0 times,Never,2,0 days,Most of the time,Most of the time,No,No,No,No,No
No,No,No,14 years old,Male,0 times,2 or 3 times,Never,3 or more,0 days,Sometimes,Never,No,No,No,No,No
No,No,No,14 years old,Male,0 times,2 or 3 times,Sometimes,3 or more,0 days,Sometimes,Never,No,No,No,No,No
No,No,No,14 years old,Male,0 times,0 times,Never,0,0 days,Always,Never,No,No,Yes,No,No
No,Yes,No,14 years old,Male,0 times,12 or more times,Never,3 or more,1 or 2 days,Rarely,Always,No,Yes,No,No,No
No,No,Yes,14 years old,Male,0 times,0 times,Never,0,0 days,Always,Never,No,No,No,Yes,Yes
No,No,No,14 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Always,No,No,No,No,No
No,No,No,16 years old,Male,2 or 3 times,0 times,Never,3 or more,0 days,Most of the time,Most of the time,No,No,No,Yes,Yes
No,Yes,No,16 years old,Male,0 times,0 times,Sometimes,3 or more,3 to 5 days,Sometimes,Never,No,Yes,No,No,No
No,No,No,16 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Never,No,No,No,No,No
No,No,No,15 years old,Male,0 times,0 times,Sometimes,1,3 to 5 days,Never,Rarely,No,Yes,No,No,No
No,No,No,15 years old,Male,4 or 5 times,0 times,Never,3 or more,1 or 2 days,Most of the time,Always,No,Yes,No,No,No
No,No,No,16 years old,Male,0 times,1 time,Sometimes,3 or more,0 days,Sometimes,Most of the time,No,No,No,Yes,Yes
No,No,No,16 years old,Female,0 times,0 times,Rarely,2,1 or 2 days,Most of the time,Most of the time,No,Yes,No,No,No
No,No,No,16 years old,Male,0 times,1 time,Rarely,3 or more,3 to 5 days,Sometimes,Rarely,No,Yes,No,Yes,Yes
No,No,No,15 years old,Male,0 times,1 time,Never,1,3 to 5 days,Sometimes,Sometimes,No,Yes,No,No,No
Yes,No,No,15 years old,Male,0 times,0 times,Never,3 or more,0 days,Sometimes,Always,No,No,No,No,No
No,No,Yes,15 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Most of the time,No,No,No,No,No
No,No,No,16 years old,Male,0 times,1 time,Never,3 or more,10 or more days,Sometimes,Rarely,No,Yes,No,No,No
No,No,No,16 years old,Male,0 times,0 times,Never,3 or more,1 or 2 days,Sometimes,Most of the time,No,Yes,No,No,No
No,No,No,16 years old,Male,0 times,0 times,Never,3 or more,1 or 2 days,Most of the time,Always,No,Yes,No,No,No
No,No,No,16 years old,Male,0 times,0 times,Never,3 or more,0 days,Rarely,Never,No,No,No,No,No
No,No,No,15 years old,Male,0 times,0 times,Never,3 or more,1 or 2 days,Most of the time,Sometimes,No,Yes,No,Yes,No
No,No,No,15 years old,Male,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No,No,Yes,Yes
No,Yes,Yes,15 years old,Male,0 times,2 or 3 times,Never,3 or more,0 days,Always,Always,No,No,No,No,No
